ISBN,AverageRating
"""342310538""",10.0
"""0451166892""",10.0
"""8440682697""",10.0
"""8879839993""",10.0
"""0142302198""",10.0
"""0439401399""",10.0
"""0699854289""",10.0
"""3125785006""",10.0
"""3506464078""",10.0
"""3608935428""",10.0
"""3821815191""",10.0
"""8530805461""",10.0
"""3404126343""",10.0
"""8838910987""",10.0
"""0812533550""",10.0
"""0375901582""",10.0
"""002542730X""",10.0
"""2070386023""",10.0
"""2070414256""",10.0
"""2878580753""",10.0
"""3423118709""",10.0
"""0385264356""",10.0
"""0886774829""",10.0
"""0886775957""",10.0
"""0886777178""",10.0
"""0590426702""",10.0
"""0590442589""",10.0
"""3100970616""",10.0
"""0805047379""",10.0
"""8481301213""",10.0
"""840149768X""",10.0
"""8426429807""",10.0
"""8478091351""",10.0
"""0064404773""",10.0
"""0375706038""",10.0
"""0385334141""",10.0
"""0671032658""",10.0
"""0553271644""",10.0
"""030700645X""",10.0
"""0307987655""",10.0
"""059044297X""",10.0
"""087701759X""",10.0
"""044023722X""",10.0
"""0970961502""",10.0
"""0670637823""",10.0
"""0739417096""",10.0
"""0312276885""",10.0
"""0312195516""",10.0
"""0670892963""",10.0
"""0310435706""",10.0
"""0380791978""",10.0
"""0399225064""",10.0
"""0679417648""",10.0
"""0679731148""",10.0
"""0740723367""",10.0
"""0805018956""",10.0
"""0836236688""",10.0
"""084233338X""",10.0
"""0842370668""",10.0
"""0849995892""",10.0
"""0871890917""",10.0
"""0877790426""",10.0
"""087784870X""",10.0
"""0890814082""",10.0
"""0897330536""",10.0
"""0898793912""",10.0
"""1568380593""",10.0
"""1572302399""",10.0
"""031215125X""",10.0
"""0590629808""",10.0
"""0849908647""",10.0
"""0330312367""",10.0
"""3596200261""",10.0
"""0345330129""",10.0
"""0451162218""",10.0
"""0752524593""",10.0
"""0810945797""",10.0
"""0831759267""",10.0
"""345302611X""",10.0
"""3473306991""",10.0
"""0316603570""",10.0
"""0517162768""",10.0
"""0684835983""",10.0
"""0739442309""",10.0
"""1550544683""",10.0
"""0911913009""",10.0
"""0970172605""",10.0
"""0345318587""",10.0
"""0099675404""",10.0
"""1885403003""",10.0
"""0618002219""",10.0
"""0028604199""",10.0
"""1400031354""",10.0
"""1588720756""",10.0
"""3423124199""",10.0
"""3423125756""",10.0
"""0671026682""",10.0
"""0380707837""",10.0
"""0771060548""",10.0
"""1882943155""",10.0
